RunID Time_Seconds N50 Number_of_Contigs kmer_size missing var_sites RAM_KB Assembler

1 531 98 58107 21 9 563067 1645260 minia

2 468 98 58216 21 9 560388 1642840 minia

3 426 97 58342 21 9 564316 1646044 minia

4 479 98 58292 21 9 560758 1644144 minia

5 482 99 58097 21 9 560321 1643788 minia

6 489 98 58344 21 9 562609 1641376 minia

7 475 98 58388 21 9 561621 1645284 minia

8 496 99 57957 21 9 562937 1645480 minia

9 475 98 58310 21 9 561488 1643416 minia

10 410 97 58558 21 9 561211 1644540 minia

11 365 200 26740 21 9 669079 2218620 velvet

12 369 199 26640 21 9 663400 2214396 velvet

13 389 200 26882 21 9 663769 2168640 velvet

14 370 200 26828 21 9 660377 2170208 velvet

15 377 200 26601 21 9 665328 2166884 velvet

16 370 200 26740 21 9 669994 2171020 velvet

17 368 201 26488 21 9 670225 2168996 velvet

18 366 199 26789 21 9 672004 2171364 velvet

19 375 200 26805 21 9 669421 2170076 velvet

20 369 198 26820 21 9 668664 2222552 velvet
